P@10,AP,NDCG@10,Recall@10,query_pmid,n_relevant
0.5,0.1266239090502765,0.5810820381115676,0.09090909090909091,29704067,55
0.9,0.6681710690220228,0.9052116356304493,0.3,29544493,30
1.0,0.6983968141262195,1.0,0.2222222222222222,29439589,45
0.8,0.537054635921688,0.7162874455029682,0.25806451612903225,29346586,31
0.5,0.13592496803620627,0.6274092458891772,0.08620689655172414,29700149,58
1.0,0.45855767682746484,1.0,0.18181818181818182,29659513,55
0.9,0.30109322048966797,0.9266360779006401,0.16363636363636364,29670091,55
0.8,0.6881153774239678,0.8364586133797037,0.1568627450980392,29437099,51
0.3,0.3135990929427643,0.28323251649726616,0.13636363636363635,29703142,22
1.0,0.9551925049330203,1.0,0.16666666666666666,29522477,60
0.6,0.5576776894958713,0.6316243658611127,0.5454545454545454,29681764,11
0.5,0.29653019262562413,0.5837154733670049,0.11627906976744186,29723187,43
1.0,0.630484369735514,1.0,0.2127659574468085,29715316,47
1.0,0.9433658779695545,1.0,0.16666666666666666,28918260,60
1.0,0.7801309224601185,1.0,0.2564102564102564,29596343,39
0.8,0.4228950926206727,0.857980942822373,0.13333333333333333,29713497,60
0.9,0.8486238612885068,0.9305687780632227,0.15789473684210525,29576637,57
0.4,0.16368571873071952,0.4341754806679218,0.09302325581395349,10097113,43
0.9,0.597414780484919,0.933745776545611,0.3333333333333333,29159452,27
0.8,0.6469089021872949,0.8115558478722846,0.13793103448275862,29554922,58
1.0,0.7839354861738491,1.0,0.17543859649122806,29925657,57
0.5,0.5562059498381643,0.4393885407921626,0.125,28693630,40
0.4,0.16524423074874264,0.4530643748551537,0.17391304347826086,28011771,23
0.7,0.2924598277486135,0.800693766409882,0.12962962962962962,29264603,54
0.6,0.28702832882282314,0.6840182226156365,0.14634146341463414,29028926,41
0.8,0.3957843266285326,0.7877736340270854,0.1951219512195122,28057679,41
1.0,0.5747110139475132,1.0,0.2631578947368421,27147026,38
0.5,0.2200464615983199,0.5022037311331264,0.13157894736842105,29740598,38
0.5,0.4313073593073593,0.4705561169627617,0.5,28322227,10
1.0,0.6297384197723481,1.0,0.20408163265306123,24905476,49
1.0,0.6232807027223696,1.0,0.30303030303030304,27707790,33
0.9,0.6880667684186675,0.9363792118010483,0.17307692307692307,28778369,52
0.8,0.5006089063285176,0.8482378089219645,0.14035087719298245,29535149,57
0.8,0.3578959988336587,0.7104770117651426,0.16666666666666666,28104717,48
1.0,0.9614554356775925,1.0,0.1694915254237288,27479325,59
1.0,0.5786491146356003,1.0,0.17543859649122806,26773146,57
0.9,0.4716157351088065,0.914856882358379,0.2,24862879,45
0.3,0.14417996641627473,0.4440973278132557,0.10344827586206896,25339269,29
1.0,0.4153213942701203,1.0,0.25,28652896,40
0.9,0.41036378893345965,0.933745776545611,0.16666666666666666,23255122,54
0.9,0.6889398366165826,0.9363792118010483,0.3103448275862069,28800436,29
0.4,0.14283766389811775,0.2726701556894781,0.13333333333333333,19539124,30
0.7,0.17617505213920132,0.7314470771099789,0.12962962962962962,28544481,54
0.6,0.40812487217589005,0.6749359875559983,0.13333333333333333,25111182,45
0.7,0.39652657112354495,0.7819835854675755,0.1794871794871795,26670244,39
0.6,0.1532735275840727,0.6405914129030109,0.1111111111111111,28358005,54
